,DOC_NO,SENT_NO,TEXT,0,1,2,3,4,5,6,7,8
364,ru_pud-ud-test_n03007,n03007003,"Статья включала время, потраченное на дорогу до домов клиентов в рабочее время. Две организации обжаловали решение, их апелляция была отвергнута Кассационным Судом 21 октября.","Статья включала время, потраченное на дорогу до домов клиентов в рабочее время"," Две организации обжаловали решение, их апелляция была отвергнута Кассационным Судом 21 октября",,,,,,,
365,ru_pud-ud-test_n03007,n03007011,"Время, потраченное на работу, сделанную в течение этого первого часа, более-менее равно 45 минутам.","Время, потраченное на работу, сделанную в течение этого первого часа, более-менее равно 45 минутам",,,,,,,,
366,ru_pud-ud-test_n03008,n03008011,"«Примерное время прибытия выходит из обращения», — сообщил французский контингент.","«Примерное время прибытия выходит из обращения», — сообщил французский контингент",,,,,,,,
367,ru_pud-ud-test_n03009,n03009006,"Еще он отметил, что «существование такого документа может привести к последствиям, которые настолько же возможны, насколько неприемлемы». Французский совет по вопросам цифровых технологий, который консультирует по вопросам законодательства в области цифровых технологий, также мог его изучить.","Еще он отметил, что «существование такого документа может привести к последствиям, которые настолько же возможны, насколько неприемлемы»"," Французский совет по вопросам цифровых технологий, который консультирует по вопросам законодательства в области цифровых технологий, также мог его изучить",,,,,,,
368,ru_pud-ud-test_n03010,n03010012,"По сообщению «Фигаро», этот план правительства может высвободить до 42 миллионов евро, из которых 15,5 миллиона пойдут на обеспечение безопасности. У Франции нет хорошей репутации.","По сообщению «Фигаро», этот план правительства может высвободить до 42 миллионов евро, из которых 15,5 миллиона пойдут на обеспечение безопасности", У Франции нет хорошей репутации,,,,,,,
369,ru_pud-ud-test_n04001,n04001002,"Тина Ансельми родилась 25 марта 1927 года в Кастельфранко Венето; она выросла в антифашистской католической семье, на которую наложило отпечаток преследование ее отца, воинствующего социалиста. Будучи всегда близкой к Католическому союзу, Тина Ансельми в основном занималась правами рабочих текстильной промышленности и учителей.","Тина Ансельми родилась 25 марта 1927 года в Кастельфранко Венето; она выросла в антифашистской католической семье, на которую наложило отпечаток преследование ее отца, воинствующего социалиста"," Будучи всегда близкой к Католическому союзу, Тина Ансельми в основном занималась правами рабочих текстильной промышленности и учителей",,,,,,,
370,ru_pud-ud-test_n04002,n04002020,"Сложно представить, что в Италии протяженность метро меньше, чем в Мадриде. Подчеркивается, что мы категорически не можем продолжать работать с теми, кто полностью выступает против Италии. Мы оценим, как осуществить переход к следующей секции и стоит ли это делать.","Сложно представить, что в Италии протяженность метро меньше, чем в Мадриде"," Подчеркивается, что мы категорически не можем продолжать работать с теми, кто полностью выступает против Италии"," Мы оценим, как осуществить переход к следующей секции и стоит ли это делать",,,,,,
371,ru_pud-ud-test_n04003,n04003043,Самая популярная песня — Geronimo Шеппарда.,Самая популярная песня — Geronimo Шеппарда,,,,,,,,
372,ru_pud-ud-test_n04005,n04005003,"Совершеннолетним государство предложит 500 евро, которые надо будет потратить до 31 декабря 2017 года. Создается ваучер, который можно сохранить в телефоне или показать на кассе.","Совершеннолетним государство предложит 500 евро, которые надо будет потратить до 31 декабря 2017 года"," Создается ваучер, который можно сохранить в телефоне или показать на кассе",,,,,,,
373,ru_pud-ud-test_n04006,n04006003,"С 1 января будет повышение цен на бензин и дизельное топливо. В своем докладе КГМСХИ Местре указали, что увеличения ставки НДС не будет, по крайней мере в 2017 году. Последние цифры относятся к 24 октября прошлого года и говорят нам, что наше дизельное топливо стоит 1335 евро за литр по сравнению со средней по еврозоне стоимостью, составляющей 1165 евро. Уровень, который в обоих случаях самый высокий в Евросоюзе.",С 1 января будет повышение цен на бензин и дизельное топливо," В своем докладе КГМСХИ Местре указали, что увеличения ставки НДС не будет, по крайней мере в 2017 году"," Последние цифры относятся к 24 октября прошлого года и говорят нам, что наше дизельное топливо стоит 1335 евро за литр по сравнению со средней по еврозоне стоимостью, составляющей 1165 евро"," Уровень, который в обоих случаях самый высокий в Евросоюзе",,,,,
374,ru_pud-ud-test_n04007,n04007002,"Коррадо Пассера отзывает предложение для парламентариев из-за «отношения полной закрытости, которое продемонстрировал нам Банк». Как было заявлено, решение является прерогативой ЕЦБ и было бы неуместно, если бы Банк выступал от его имени, исключив возможность изучения других вариантов.","Коррадо Пассера отзывает предложение для парламентариев из-за «отношения полной закрытости, которое продемонстрировал нам Банк»"," Как было заявлено, решение является прерогативой ЕЦБ и было бы неуместно, если бы Банк выступал от его имени, исключив возможность изучения других вариантов",,,,,,,
375,ru_pud-ud-test_n04007,n04007023,Это будет подвергнуто оценке.,Это будет подвергнуто оценке,,,,,,,,
376,ru_pud-ud-test_n04008,n04008007,"Студентам Университета ЛУИСС в рамках их курса рассказали о встрече, которая произошла в Риме. Сегодня утром Папа Франциск встретился с Марком Цукербергом и его женой в Casa Santa Marta.","Студентам Университета ЛУИСС в рамках их курса рассказали о встрече, которая произошла в Риме", Сегодня утром Папа Франциск встретился с Марком Цукербергом и его женой в Casa Santa Marta,,,,,,,
377,ru_pud-ud-test_n04009,n04009002,"Четверо студентов университета Roma Tre University разработали мотоциклетный шлем, который может «читать мысли», помогая предугадать действия водителей. В результате одного из исследований, проведенных для применения мер предосторожности, также был произведен гуманоидный робот, способный соревноваться с Валентино Росси.","Четверо студентов университета Roma Tre University разработали мотоциклетный шлем, который может «читать мысли», помогая предугадать действия водителей"," В результате одного из исследований, проведенных для применения мер предосторожности, также был произведен гуманоидный робот, способный соревноваться с Валентино Росси",,,,,,,
378,ru_pud-ud-test_n04010,n04010006,"В ответ Uber получит инвестиции на сумму миллиард долларов и место в совете директоров китайской компании. Все больше и больше технологических компаний принимают ключевые решения на Уолл-стрит, и еще больше — в Силиконовой Долине. Главы таких компаний, как Spotify, Tesla, Uber и Snapchat, помимо саммита Mountain View, посетят также частное мероприятие. Амазон стал четвертой по размерам рыночной капитализации американской компанией, обойдя ExxonMobil.",В ответ Uber получит инвестиции на сумму миллиард долларов и место в совете директоров китайской компании," Все больше и больше технологических компаний принимают ключевые решения на Уолл-стрит, и еще больше — в Силиконовой Долине"," Главы таких компаний, как Spotify, Tesla, Uber и Snapchat, помимо саммита Mountain View, посетят также частное мероприятие"," Амазон стал четвертой по размерам рыночной капитализации американской компанией, обойдя ExxonMobil",,,,,
379,ru_pud-ud-test_n05001,n05001005,"Президент Сообщества Мадрида, Кристина Сифуэнтес, представляет наиболее консервативно настроенных людей, тогда как лидеры партии, такие как региональный заместитель министра Хавьер Марото, представляют наиболее прогрессивных людей. Дюран является спикером, а Анхель Пинтадо казначеем.","Президент Сообщества Мадрида, Кристина Сифуэнтес, представляет наиболее консервативно настроенных людей, тогда как лидеры партии, такие как региональный заместитель министра Хавьер Марото, представляют наиболее прогрессивных людей"," Дюран является спикером, а Анхель Пинтадо казначеем",,,,,,,
380,ru_pud-ud-test_n05002,n05002004,"Впервые за шесть лет уровень безработицы упал ниже 20%, и уже сейчас работу имеют на 600 000 человек больше, чем год назад. Его управление, однако, не было избавлено от критики.","Впервые за шесть лет уровень безработицы упал ниже 20%, и уже сейчас работу имеют на 600 000 человек больше, чем год назад"," Его управление, однако, не было избавлено от критики",,,,,,,
381,ru_pud-ud-test_n05002,n05002020,Перед департаментом сейчас стоит несколько сложных задач.,Перед департаментом сейчас стоит несколько сложных задач,,,,,,,,
382,ru_pud-ud-test_n05003,n05003006,"Министру обороны пока позволили остаться Генеральным секретарем партии. Источники, с которыми провели консультации, сказали, что это «точно Коспедаль». Барон де Кларе — единственный обладатель дворянского титула в правительстве. Несмотря на них, не все в партии понимали, что президент пытался сказать им вчера.",Министру обороны пока позволили остаться Генеральным секретарем партии," Источники, с которыми провели консультации, сказали, что это «точно Коспедаль»", Барон де Кларе — единственный обладатель дворянского титула в правительстве," Несмотря на них, не все в партии понимали, что президент пытался сказать им вчера",,,,,
383,ru_pud-ud-test_n05004,n05004020,"Педро Санчес, как и многие другие социалисты, в программе у Эволе сказал, что Испания — государство наций. А что же с партиями, например, с точки зрения исторических прав?","Педро Санчес, как и многие другие социалисты, в программе у Эволе сказал, что Испания — государство наций"," А что же с партиями, например, с точки зрения исторических прав?",,,,,,,
384,ru_pud-ud-test_n05005,n05005002,"Федерико Феллини однажды сказал: «Клоун для человечества как тень для человека». Он стоит один перед аудиторией и в конце концов должен показать себя наилучшим образом, чтобы рассмешить публику.",Федерико Феллини однажды сказал: «Клоун для человечества как тень для человека»," Он стоит один перед аудиторией и в конце концов должен показать себя наилучшим образом, чтобы рассмешить публику",,,,,,,
385,ru_pud-ud-test_n05006,n05006002,"В военных или ковбойских фильмах битвы, драки и избиения были нереально хороши. Усиление, тонкая ирония, резкие намеки и другие умело использованные словесные приемы подходят для парламентских дискуссий, а размахивание руками и приемы стандартных комедийных фильмов — нет.","В военных или ковбойских фильмах битвы, драки и избиения были нереально хороши"," Усиление, тонкая ирония, резкие намеки и другие умело использованные словесные приемы подходят для парламентских дискуссий, а размахивание руками и приемы стандартных комедийных фильмов — нет",,,,,,,
386,ru_pud-ud-test_n05007,n05007006,"Он верит, что никто из ждущих нас не ждет нас. Возможно, поэтому зрачки его застилают слезы, когда слоги времени открывают его добычу и отдают его тайну успокоенным водам.","Он верит, что никто из ждущих нас не ждет нас"," Возможно, поэтому зрачки его застилают слезы, когда слоги времени открывают его добычу и отдают его тайну успокоенным водам",,,,,,,
387,ru_pud-ud-test_n05008,n05008012,"В результате Трамп не очень беспокоится о том, как будут голосовать латиноамериканцы на национальном уровне. Досрочное голосование показывает, что на этот раз явка среди латиноамериканцев будет больше, но не ясно, повлияет ли это увеличение на результат.","В результате Трамп не очень беспокоится о том, как будут голосовать латиноамериканцы на национальном уровне"," Досрочное голосование показывает, что на этот раз явка среди латиноамериканцев будет больше, но не ясно, повлияет ли это увеличение на результат",,,,,,,
388,ru_pud-ud-test_n05009,n05009025,"«Будут протесты и другие акции, это уже спланировано», — сказала оппозиция El Mundo. Десятки последователей СФНО уже празднуют победу в Plaza de las Victorias.","«Будут протесты и другие акции, это уже спланировано», — сказала оппозиция El Mundo", Десятки последователей СФНО уже празднуют победу в Plaza de las Victorias,,,,,,,
389,ru_pud-ud-test_n05010,n05010004,"Мэй подверглась серьезной критике за то, что избегала и не давала прямого ответа средствам массовой информации после решения суда по Брекзиту.","Мэй подверглась серьезной критике за то, что избегала и не давала прямого ответа средствам массовой информации после решения суда по Брекзиту",,,,,,,,
390,ru_pud-ud-test_w02001,w02001041,"Театральный фестиваль под открытым небом, проведенный впервые для широкой публики в 1925 году, до сих пор собирает людей из всех уголков страны на ступенях крыльца церкви Святого Михаила. Торжественное открытие состоялось 30 апреля 1955 года.","Театральный фестиваль под открытым небом, проведенный впервые для широкой публики в 1925 году, до сих пор собирает людей из всех уголков страны на ступенях крыльца церкви Святого Михаила", Торжественное открытие состоялось 30 апреля 1955 года,,,,,,,
391,ru_pud-ud-test_w02002,w02002032,"В 1882 году была введена в эксплуатацию система телеграфной связи с 34 пожарными сигналами. В 1992 году помещения бывшего кукольного театра, оставленные местными органами власти, стали использоваться его актерами и сотрудниками. Это одно из немногих зданий в центре города, которое было спасено от уничтожения в конце Второй мировой войны.",В 1882 году была введена в эксплуатацию система телеграфной связи с 34 пожарными сигналами," В 1992 году помещения бывшего кукольного театра, оставленные местными органами власти, стали использоваться его актерами и сотрудниками"," Это одно из немногих зданий в центре города, которое было спасено от уничтожения в конце Второй мировой войны",,,,,,
392,ru_pud-ud-test_w02003,w02003037,"В 1832 году бывший монастырь был продан фабриканту Георгу Райхенбаху при условии, что тот откроет там хлопчатобумажную мануфактуру. Живущие здесь мусульмане — это в основном переселенцы из Турции, приехавшие сюда в начале 1960-х годов.","В 1832 году бывший монастырь был продан фабриканту Георгу Райхенбаху при условии, что тот откроет там хлопчатобумажную мануфактуру"," Живущие здесь мусульмане — это в основном переселенцы из Турции, приехавшие сюда в начале 1960-х годов",,,,,,,
393,ru_pud-ud-test_w02004,w02004008,Среди них район бывшего монастыря с церковью Святых Апостолов Петра и Павла. Здание ратуши в Обермарсберге датируется XIII веком и было восстановлено после Тридцатилетней войны.,Среди них район бывшего монастыря с церковью Святых Апостолов Петра и Павла, Здание ратуши в Обермарсберге датируется XIII веком и было восстановлено после Тридцатилетней войны,,,,,,,
394,ru_pud-ud-test_w02005,w02005026,"В парке «Золотые ворота», протянувшемся более чем на четыре километра, находятся ботанический сад, планетарий, японский чайный сад и океанариум. Этот парк является основной городской зоной отдыха.","В парке «Золотые ворота», протянувшемся более чем на четыре километра, находятся ботанический сад, планетарий, японский чайный сад и океанариум", Этот парк является основной городской зоной отдыха,,,,,,,
395,ru_pud-ud-test_w02005,w02005029,Здесь находится памятник Мартину Лютеру Кингу.,Здесь находится памятник Мартину Лютеру Кингу,,,,,,,,
396,ru_pud-ud-test_w02006,w02006036,В 1960-е годы экономический рост в городе пошел на спад. На парламентских выборах в 2010 году Лейбористская партия одержала победу во всех семи избирательных округах.,В 1960-е годы экономический рост в городе пошел на спад, На парламентских выборах в 2010 году Лейбористская партия одержала победу во всех семи избирательных округах,,,,,,,
397,ru_pud-ud-test_w02007,w02007008,"Однако и время, и последовательность этого события являются весьма спорными. В апреле 2012 года премьер-министр Турции Эрдоган заявил, что правительство планирует построить Стамбульский канал и тем самым разгрузить расположенный параллельно Босфор. Османская и Российская империи не имели права держать свои военные корабли в Черном море. В частности, Османская империя хотела остановить перевоз зерна, так как сама имела на него большой спрос.","Однако и время, и последовательность этого события являются весьма спорными"," В апреле 2012 года премьер-министр Турции Эрдоган заявил, что правительство планирует построить Стамбульский канал и тем самым разгрузить расположенный параллельно Босфор", Османская и Российская империи не имели права держать свои военные корабли в Черном море," В частности, Османская империя хотела остановить перевоз зерна, так как сама имела на него большой спрос",,,,,
398,ru_pud-ud-test_w02008,w02008010,"Ее можно назвать одной из самых широко распространенных культур того времени, для которой известно большое количество мест археологических находок. Находки датируются началом 5 тысячелетия до н. э., как и другие, сделанные на археологических площадках Юго-Восточной Европы.","Ее можно назвать одной из самых широко распространенных культур того времени, для которой известно большое количество мест археологических находок", Находки датируются началом 5 тысячелетия до н, э,", как и другие, сделанные на археологических площадках Юго-Восточной Европы",,,,,
399,ru_pud-ud-test_w02008,w02008055,Располагались они в основном на возвышенностях.,Располагались они в основном на возвышенностях,,,,,,,,
400,ru_pud-ud-test_w02009,w02009002,"Жестокость и размах революции в сельской местности встревожили королевский двор и Национальное собрание в Версале. Об этом стало известно в Париже, что, вместе с высокими ценами на хлеб и недостатком продуктов, продолжало создавать напряженную обстановку в столице. Во время своего бегства король не соблюдал особую осторожность, поэтому его часто узнавали, когда он останавливался на ночлег.",Жестокость и размах революции в сельской местности встревожили королевский двор и Национальное собрание в Версале," Об этом стало известно в Париже, что, вместе с высокими ценами на хлеб и недостатком продуктов, продолжало создавать напряженную обстановку в столице"," Во время своего бегства король не соблюдал особую осторожность, поэтому его часто узнавали, когда он останавливался на ночлег",,,,,,
401,ru_pud-ud-test_w02011,w02011012,"Гимн был хорошо принят, и зрители требовали еще. Я объявляю первые международные Олимпийские игры закрытыми.","Гимн был хорошо принят, и зрители требовали еще", Я объявляю первые международные Олимпийские игры закрытыми,,,,,,,
402,ru_pud-ud-test_w02012,w02012042,С началом Первой мировой войны появились сдвиги и новые разработки в области колониальной политики.,С началом Первой мировой войны появились сдвиги и новые разработки в области колониальной политики,,,,,,,,
403,ru_pud-ud-test_w02013,w02013015,"Промышленная революция прошла в Великобритании раньше, чем во всех других странах мира. Суэцкий кризис 1956 года определил границы старых колониальных держав, Англии и Франции, в меняющемся мире. После Октябрьской революции 1917 года Финляндия, Польша и страны Балтии получили независимость. После захвата национал-социалистами власти в 1933 году были предприняты попытки возврата старых колоний Германии.","Промышленная революция прошла в Великобритании раньше, чем во всех других странах мира"," Суэцкий кризис 1956 года определил границы старых колониальных держав, Англии и Франции, в меняющемся мире"," После Октябрьской революции 1917 года Финляндия, Польша и страны Балтии получили независимость", После захвата национал-социалистами власти в 1933 году были предприняты попытки возврата старых колоний Германии,,,,,
404,ru_pud-ud-test_w02014,w02014013,"Одним из его последних средств оказания давления на Венгрию была угроза введения всеобщего избирательного права. После заключения мира император Франц Иосиф I приложил огромные усилия, чтобы править двумя монархиями одинаково.",Одним из его последних средств оказания давления на Венгрию была угроза введения всеобщего избирательного права," После заключения мира император Франц Иосиф I приложил огромные усилия, чтобы править двумя монархиями одинаково",,,,,,,
405,ru_pud-ud-test_w02015,w02015084,В эпоху Реформации монастырь Дизибоденберг был закрыт и пришёл в упадок. Сейчас там можно увидеть только руины.,В эпоху Реформации монастырь Дизибоденберг был закрыт и пришёл в упадок, Сейчас там можно увидеть только руины,,,,,,,
406,ru_pud-ud-test_w02015,w02015087,Лишившиеся крова монахини переселились в аббатство Айбинген.,Лишившиеся крова монахини переселились в аббатство Айбинген,,,,,,,,
407,ru_pud-ud-test_w02016,w02016015,"После этих успехов команда Telekom заключила с ним контракт, и Ян переехал к своей подруге в Мердинген в Южном Бадене, где он жил до 2002 года. На Олимпийских играх в Афинах в 2004 году Ульрих, будучи победителем 2000 года, принял участие в шоссейной гонке с целью получить свою вторую золотую медаль.","После этих успехов команда Telekom заключила с ним контракт, и Ян переехал к своей подруге в Мердинген в Южном Бадене, где он жил до 2002 года"," На Олимпийских играх в Афинах в 2004 году Ульрих, будучи победителем 2000 года, принял участие в шоссейной гонке с целью получить свою вторую золотую медаль",,,,,,,
408,ru_pud-ud-test_w02017,w02017046,"Цензура запрещала любые нежелательные высказывания, а участие в общественной жизни стало практически невозможным. Пятна крови на одежде имели именно ту форму, которая была указана в протоколах с места преступления.","Цензура запрещала любые нежелательные высказывания, а участие в общественной жизни стало практически невозможным"," Пятна крови на одежде имели именно ту форму, которая была указана в протоколах с места преступления",,,,,,,
409,ru_pud-ud-test_w02018,w02018030,Вайс был удостоен литературных премий Кёльна и Бремена.,Вайс был удостоен литературных премий Кёльна и Бремена,,,,,,,,
410,ru_pud-ud-test_w02019,w02019048,"Шпрингер, как человек и как журналист, активно выступал за примирение с еврейским народом и совершил несколько поездок в Израиль. Дом же сгорел дотла. В 1977 году он был награжден Американской медалью дружбы за выражаемую им в материалах дружественную позицию в отношении США.","Шпрингер, как человек и как журналист, активно выступал за примирение с еврейским народом и совершил несколько поездок в Израиль", Дом же сгорел дотла, В 1977 году он был награжден Американской медалью дружбы за выражаемую им в материалах дружественную позицию в отношении США,,,,,,
411,ru_pud-ud-test_w03001,w03001037,"В районах Вигёр и Ла-Конт находится большая часть муниципального жилья города, население там в основном состоит из иммигрантов и лиц иммигрантского происхождения. История Каркассона напрямую связана с историей этого города-крепости.","В районах Вигёр и Ла-Конт находится большая часть муниципального жилья города, население там в основном состоит из иммигрантов и лиц иммигрантского происхождения", История Каркассона напрямую связана с историей этого города-крепости,,,,,,,
412,ru_pud-ud-test_w03002,w03002048,"В начале 2000-х гг. там было пять докторов на 100 000 жителей. Amnesty International цитирует газетные статьи 2008 года, описывающие убийство пятидесяти людей, обвиняемых в ведьмовстве.",В начале 2000-х гг, там было пять докторов на 100 000 жителей," Amnesty International цитирует газетные статьи 2008 года, описывающие убийство пятидесяти людей, обвиняемых в ведьмовстве",,,,,,
413,ru_pud-ud-test_w03003,w03003023,"Фон Беллинсгаузен увидел Антарктиду 27 января 1820 года, за три дня до того, как землю увидел Брансфилд, и за десять месяцев до того, как туда добрался Палмер в ноябре 1820 года. В экспедиции «Эндьюранс» в 1914 году британский корабль «Эндьюранс» под управлением сэра Эрнеста Шеклтона вышел в путь с экипажем из двадцати восьми человек; его задачей было пересечь Антарктиду.","Фон Беллинсгаузен увидел Антарктиду 27 января 1820 года, за три дня до того, как землю увидел Брансфилд, и за десять месяцев до того, как туда добрался Палмер в ноябре 1820 года", В экспедиции «Эндьюранс» в 1914 году британский корабль «Эндьюранс» под управлением сэра Эрнеста Шеклтона вышел в путь с экипажем из двадцати восьми человек; его задачей было пересечь Антарктиду,,,,,,,
414,ru_pud-ud-test_w03004,w03004037,"Этот проект был основополагающим документом римского права, институтов Римской республики и корпуса ее обычаев. Однако Пирр был вынужден покинуть Сицилию, чтобы заняться делами в южной Италии.","Этот проект был основополагающим документом римского права, институтов Римской республики и корпуса ее обычаев"," Однако Пирр был вынужден покинуть Сицилию, чтобы заняться делами в южной Италии",,,,,,,
415,ru_pud-ud-test_w03005,w03005012,"В 8 веке д н. э. Греция начала выходить из темных веков, последовавших за падением Микенской цивилизации. Была утеряна письменность и забыто микенское письмо, но греки приняли финикийский алфавит, изменив его для создания греческого алфавита.",В 8 веке д н, э," Греция начала выходить из темных веков, последовавших за падением Микенской цивилизации"," Была утеряна письменность и забыто микенское письмо, но греки приняли финикийский алфавит, изменив его для создания греческого алфавита",,,,,
416,ru_pud-ud-test_w03005,w03005015,"Греция была поделена на много небольших поселений с самоуправлением, что в основном было вызвано греческой географией: каждый остров, долина и равнина были отрезаны от соседей морем или горными хребтами.","Греция была поделена на много небольших поселений с самоуправлением, что в основном было вызвано греческой географией: каждый остров, долина и равнина были отрезаны от соседей морем или горными хребтами",,,,,,,,
417,ru_pud-ud-test_w03006,w03006024,В средние века у большинства христиан не было доступа к Библии на их родном языке.,В средние века у большинства христиан не было доступа к Библии на их родном языке,,,,,,,,
418,ru_pud-ud-test_w03007,w03007008,"Однако они не расширяли своей территории, пока не были построены корабли, достаточно большие, чтобы пересечь море. Торговля развивалась за счет создания торговых представительств по всему Средиземноморью, этот метод раньше никогда не использовался.","Однако они не расширяли своей территории, пока не были построены корабли, достаточно большие, чтобы пересечь море"," Торговля развивалась за счет создания торговых представительств по всему Средиземноморью, этот метод раньше никогда не использовался",,,,,,,
